clients,queue_size,run,client_id,avg_latency_ns,p50_latency_ns,p99_latency_ns
1,1024,1,0,311721,309057,434665
1,1024,2,0,337177,331766,545161
1,1024,3,0,345393,344320,505838
2,1024,1,0,467552,466486,478906
2,1024,1,1,466900,466273,477632
2,1024,2,0,450427,449132,465311
2,1024,2,1,449802,448905,464166
2,1024,3,0,482810,481925,494226
2,1024,3,1,482505,481684,493590
4,1024,1,0,847037,846261,858083
4,1024,1,1,846965,846182,858063
4,1024,1,2,846940,846173,858130
4,1024,1,3,846944,846170,858018
4,1024,2,0,823779,823063,835619
4,1024,2,1,823662,822977,835572
4,1024,2,2,823682,822977,835516
4,1024,2,3,823690,822996,835575
4,1024,3,0,1.01948e+06,1.01789e+06,1.04698e+06
4,1024,3,1,1.01937e+06,1.01776e+06,1.04703e+06
4,1024,3,2,1.01939e+06,1.0178e+06,1.04698e+06
4,1024,3,3,1.01933e+06,1.01774e+06,1.04729e+06
8,1024,1,0,1.0087e+06,1.0076e+06,1.01929e+06
8,1024,1,1,1.00839e+06,1.00748e+06,1.01898e+06
8,1024,1,2,1.00841e+06,1.00759e+06,1.01907e+06
8,1024,1,3,1.00837e+06,1.00755e+06,1.01911e+06
8,1024,1,4,1.00836e+06,1.00758e+06,1.01912e+06
8,1024,1,5,1.00838e+06,1.00752e+06,1.01923e+06
8,1024,1,6,1.00836e+06,1.00763e+06,1.01904e+06
8,1024,1,7,1.00836e+06,1.00754e+06,1.01921e+06
8,1024,2,0,1.12507e+06,1.12434e+06,1.1353e+06
8,1024,2,1,1.12507e+06,1.12427e+06,1.13532e+06
8,1024,2,2,1.12502e+06,1.12422e+06,1.13522e+06
8,1024,2,3,1.12516e+06,1.12432e+06,1.13543e+06
8,1024,2,4,1.12509e+06,1.1243e+06,1.13538e+06
8,1024,2,5,1.12512e+06,1.12429e+06,1.13529e+06
8,1024,2,6,1.12505e+06,1.12426e+06,1.13516e+06
8,1024,2,7,1.12502e+06,1.12427e+06,1.13523e+06
8,1024,3,0,1.03152e+06,1.03063e+06,1.04043e+06
8,1024,3,1,1.03155e+06,1.0306e+06,1.0404e+06
8,1024,3,2,1.03136e+06,1.03058e+06,1.04024e+06
8,1024,3,3,1.03141e+06,1.03066e+06,1.04035e+06
8,1024,3,4,1.0314e+06,1.0306e+06,1.04038e+06
8,1024,3,5,1.03127e+06,1.03057e+06,1.04025e+06
8,1024,3,6,1.03131e+06,1.03056e+06,1.0403e+06
8,1024,3,7,1.03135e+06,1.0306e+06,1.04034e+06
16,1024,1,0,1.7424e+06,1.74152e+06,1.76024e+06
16,1024,1,1,1.74234e+06,1.74154e+06,1.76022e+06
16,1024,1,2,1.74219e+06,1.7415e+06,1.75994e+06
16,1024,1,3,1.74238e+06,1.74159e+06,1.76033e+06
16,1024,1,4,1.74227e+06,1.74159e+06,1.76037e+06
16,1024,1,5,1.74237e+06,1.74157e+06,1.76034e+06
16,1024,1,6,1.7424e+06,1.74159e+06,1.76023e+06
16,1024,1,7,1.7424e+06,1.7416e+06,1.76003e+06
16,1024,1,8,1.74229e+06,1.74154e+06,1.75998e+06
16,1024,1,9,1.74236e+06,1.74157e+06,1.76017e+06
16,1024,1,10,1.74233e+06,1.74148e+06,1.76001e+06
16,1024,1,11,1.74242e+06,1.74164e+06,1.76021e+06
16,1024,1,12,1.7424e+06,1.7415e+06,1.76004e+06
16,1024,1,13,1.74242e+06,1.74157e+06,1.76014e+06
16,1024,1,14,1.74239e+06,1.74167e+06,1.76031e+06
16,1024,1,15,1.74238e+06,1.74157e+06,1.7603e+06
16,1024,2,0,3.85995e+06,3.55442e+06,5.52272e+06
16,1024,2,1,3.85939e+06,3.55324e+06,5.52212e+06
16,1024,2,2,3.85991e+06,3.55399e+06,5.52272e+06
16,1024,2,3,3.8594e+06,3.55412e+06,5.52267e+06
16,1024,2,4,3.85931e+06,3.55396e+06,5.52231e+06
16,1024,2,5,3.85982e+06,3.55452e+06,5.52236e+06
16,1024,2,6,3.85934e+06,3.55358e+06,5.52236e+06
16,1024,2,7,3.85888e+06,3.55351e+06,5.52275e+06
16,1024,2,8,3.85973e+06,3.55401e+06,5.52372e+06
16,1024,2,9,3.85916e+06,3.55353e+06,5.52226e+06
16,1024,2,10,3.85953e+06,3.55379e+06,5.52335e+06
16,1024,2,11,3.85948e+06,3.55433e+06,5.52236e+06
16,1024,2,12,3.85967e+06,3.55477e+06,5.52249e+06
16,1024,2,13,3.85991e+06,3.554e+06,5.52253e+06
16,1024,2,14,3.85932e+06,3.55333e+06,5.52289e+06
16,1024,2,15,3.85924e+06,3.55379e+06,5.52237e+06
16,1024,3,0,1.70462e+06,1.70309e+06,1.72827e+06
16,1024,3,1,1.70484e+06,1.70304e+06,1.72868e+06
16,1024,3,2,1.70396e+06,1.70305e+06,1.72843e+06
16,1024,3,3,1.70402e+06,1.7031e+06,1.7284e+06
16,1024,3,4,1.70405e+06,1.70305e+06,1.72834e+06
16,1024,3,5,1.70406e+06,1.70304e+06,1.72825e+06
16,1024,3,6,1.70414e+06,1.70308e+06,1.72835e+06
16,1024,3,7,1.70401e+06,1.70308e+06,1.72805e+06
16,1024,3,8,1.70412e+06,1.70312e+06,1.72858e+06
16,1024,3,9,1.704e+06,1.70309e+06,1.72846e+06
16,1024,3,10,1.70396e+06,1.70308e+06,1.72832e+06
16,1024,3,11,1.70399e+06,1.70307e+06,1.72817e+06
16,1024,3,12,1.70414e+06,1.70313e+06,1.72833e+06
16,1024,3,13,1.70402e+06,1.70305e+06,1.72833e+06
16,1024,3,14,1.70404e+06,1.70311e+06,1.72796e+06
16,1024,3,15,1.70403e+06,1.70311e+06,1.72788e+06
32,1024,1,0,7.35181e+06,7.073e+06,1.2235e+07
32,1024,1,1,7.3525e+06,7.07277e+06,1.22338e+07
32,1024,1,2,7.35076e+06,7.073e+06,1.22322e+07
32,1024,1,3,7.35107e+06,7.07283e+06,1.22329e+07
32,1024,1,4,7.35063e+06,7.07284e+06,1.22366e+07
32,1024,1,5,7.35141e+06,7.07352e+06,1.22339e+07
32,1024,1,6,7.35074e+06,7.07317e+06,1.22333e+07
32,1024,1,7,7.35104e+06,7.07301e+06,1.22329e+07
32,1024,1,8,7.3513e+06,7.073e+06,1.2234e+07
32,1024,1,9,7.35114e+06,7.07289e+06,1.22323e+07
32,1024,1,10,7.35327e+06,7.07304e+06,1.22364e+07
32,1024,1,11,7.35066e+06,7.07321e+06,1.2233e+07
32,1024,1,12,7.35074e+06,7.07339e+06,1.22333e+07
32,1024,1,13,7.35031e+06,7.07322e+06,1.22331e+07
32,1024,1,14,7.35086e+06,7.07327e+06,1.22324e+07
32,1024,1,15,7.35098e+06,7.07285e+06,1.22342e+07
32,1024,1,16,7.35106e+06,7.07288e+06,1.22337e+07
32,1024,1,17,7.35153e+06,7.07262e+06,1.22328e+07
32,1024,1,18,7.35122e+06,7.07297e+06,1.2233e+07
32,1024,1,19,7.35078e+06,7.07288e+06,1.22354e+07
32,1024,1,20,7.35129e+06,7.07327e+06,1.22352e+07
32,1024,1,21,7.35139e+06,7.07309e+06,1.22332e+07
32,1024,1,22,7.35199e+06,7.07329e+06,1.22335e+07
32,1024,1,23,7.35181e+06,7.07319e+06,1.22334e+07
32,1024,1,24,7.35129e+06,7.07312e+06,1.22355e+07
32,1024,1,25,7.35096e+06,7.07333e+06,1.22339e+07
32,1024,1,26,7.35093e+06,7.07306e+06,1.22328e+07
32,1024,1,27,7.35155e+06,7.07295e+06,1.22321e+07
32,1024,1,28,7.35088e+06,7.07296e+06,1.22338e+07
32,1024,1,29,7.35116e+06,7.07285e+06,1.22332e+07
32,1024,1,30,7.35111e+06,7.07294e+06,1.22346e+07
32,1024,1,31,7.35103e+06,7.07277e+06,1.22332e+07
32,1024,2,0,5.06393e+06,4.38052e+06,7.17602e+06
32,1024,2,1,5.062e+06,4.37907e+06,7.17642e+06
32,1024,2,2,5.06242e+06,4.37924e+06,7.17651e+06
