time_sec,clients,run,throughput
1,1,1,3250625
2,1,1,3295620
3,1,1,3339155
4,1,1,3363680
5,1,1,3364718
6,1,1,3367186
7,1,1,3318063
8,1,1,3294765
9,1,1,3294306
10,1,1,3296168
11,1,1,3293936
12,1,1,3297757
13,1,1,3295679
14,1,1,3297009
15,1,1,3284914
16,1,1,3294449
17,1,1,3294560
18,1,1,3295962
19,1,1,3293544
20,1,1,3295700
21,1,1,3294472
22,1,1,3294965
23,1,1,3240610
24,1,1,3266192
25,1,1,3294153
26,1,1,3347660
27,1,1,3359635
28,1,1,3361794
29,1,1,3360086
30,1,1,3359827
31,1,1,3307535
32,1,1,3292369
33,1,1,3289375
34,1,1,3291816
35,1,1,3290428
36,1,1,3290817
37,1,1,3290553
38,1,1,3320673
39,1,1,3359461
40,1,1,3361342
41,1,1,3358525
42,1,1,3359834
43,1,1,3359305
44,1,1,3360593
45,1,1,3358404
46,1,1,3360075
47,1,1,3358341
48,1,1,3357263
49,1,1,3358848
50,1,1,3359535
51,1,1,3311856
52,1,1,3292636
53,1,1,3244895
54,1,1,3293241
55,1,1,3291090
56,1,1,3293293
57,1,1,3291525
58,1,1,3328013
59,1,1,3361414
60,1,1,3362028
61,1,1,2907
1,1,2,2816865
2,1,2,3009631
3,1,2,3048862
4,1,2,3113080
5,1,2,3154601
6,1,2,3191276
7,1,2,3193249
8,1,2,3189275
9,1,2,3189628
10,1,2,3163477
11,1,2,3117984
12,1,2,3093915
13,1,2,3046717
14,1,2,3043867
15,1,2,3045786
16,1,2,3115778
17,1,2,3119453
18,1,2,3158448
19,1,2,3150208
20,1,2,3159550
21,1,2,3118124
22,1,2,3119416
23,1,2,3115998
24,1,2,3089495
25,1,2,3082010
26,1,2,3123715
27,1,2,3119461
28,1,2,3115117
29,1,2,3118393
30,1,2,3114439
31,1,2,3148820
32,1,2,3189176
33,1,2,3188675
34,1,2,3160664
35,1,2,3114520
36,1,2,3091523
37,1,2,3044226
38,1,2,3014862
39,1,2,2972684
40,1,2,2956450
41,1,2,3029773
42,1,2,3016688
43,1,2,2975359
44,1,2,2973452
45,1,2,2973890
46,1,2,2976800
47,1,2,3044472
48,1,2,3041289
49,1,2,3053644
50,1,2,3116912
51,1,2,3116529
52,1,2,3088613
53,1,2,3042091
54,1,2,3040155
55,1,2,3040275
56,1,2,3014713
57,1,2,2970052
58,1,2,3006078
59,1,2,3049634
60,1,2,3111251
61,1,2,4146
1,1,3,3369418
2,1,3,3156224
3,1,3,3145095
