time_sec,clients,run,cpu_usr,cpu_sys,cpu_idle
2,1,1,%usr,%sys,%idle
3,1,1,93.00,0.00,7.00
5,1,1,%usr,%sys,%idle
6,1,1,100.00,0.00,0.00
8,1,1,%usr,%sys,%idle
9,1,1,100.00,0.00,0.00
11,1,1,%usr,%sys,%idle
12,1,1,100.00,0.00,0.00
14,1,1,%usr,%sys,%idle
15,1,1,100.00,0.00,0.00
17,1,1,%usr,%sys,%idle
18,1,1,100.00,0.00,0.00
20,1,1,%usr,%sys,%idle
21,1,1,100.00,0.00,0.00
23,1,1,%usr,%sys,%idle
24,1,1,100.00,0.00,0.00
26,1,1,%usr,%sys,%idle
27,1,1,100.00,0.00,0.00
29,1,1,%usr,%sys,%idle
30,1,1,100.00,0.00,0.00
32,1,1,%usr,%sys,%idle
33,1,1,100.00,0.00,0.00
35,1,1,%usr,%sys,%idle
36,1,1,100.00,0.00,0.00
38,1,1,%usr,%sys,%idle
39,1,1,100.00,0.00,0.00
41,1,1,%usr,%sys,%idle
42,1,1,100.00,0.00,0.00
44,1,1,%usr,%sys,%idle
45,1,1,100.00,0.00,0.00
47,1,1,%usr,%sys,%idle
48,1,1,100.00,0.00,0.00
50,1,1,%usr,%sys,%idle
51,1,1,100.00,0.00,0.00
53,1,1,%usr,%sys,%idle
54,1,1,100.00,0.00,0.00
56,1,1,%usr,%sys,%idle
57,1,1,100.00,0.00,0.00
59,1,1,%usr,%sys,%idle
60,1,1,100.00,0.00,0.00
62,1,1,%usr,%sys,%idle
63,1,1,100.00,0.00,0.00
65,1,1,%usr,%sys,%idle
66,1,1,100.00,0.00,0.00
68,1,1,%usr,%sys,%idle
69,1,1,100.00,0.00,0.00
71,1,1,%usr,%sys,%idle
72,1,1,100.00,0.00,0.00
74,1,1,%usr,%sys,%idle
75,1,1,100.00,0.00,0.00
77,1,1,%usr,%sys,%idle
78,1,1,100.00,0.00,0.00
80,1,1,%usr,%sys,%idle
81,1,1,100.00,0.00,0.00
83,1,1,%usr,%sys,%idle
84,1,1,100.00,0.00,0.00
86,1,1,%usr,%sys,%idle
87,1,1,100.00,0.00,0.00
89,1,1,%usr,%sys,%idle
90,1,1,100.00,0.00,0.00
92,1,1,%usr,%sys,%idle
93,1,1,100.00,0.00,0.00
95,1,1,%usr,%sys,%idle
96,1,1,100.00,0.00,0.00
98,1,1,%usr,%sys,%idle
99,1,1,100.00,0.00,0.00
101,1,1,%usr,%sys,%idle
102,1,1,100.00,0.00,0.00
104,1,1,%usr,%sys,%idle
105,1,1,100.00,0.00,0.00
107,1,1,%usr,%sys,%idle
108,1,1,100.00,0.00,0.00
110,1,1,%usr,%sys,%idle
111,1,1,100.00,0.00,0.00
113,1,1,%usr,%sys,%idle
114,1,1,100.00,0.00,0.00
116,1,1,%usr,%sys,%idle
117,1,1,100.00,0.00,0.00
119,1,1,%usr,%sys,%idle
120,1,1,100.00,0.00,0.00
122,1,1,%usr,%sys,%idle
123,1,1,100.00,0.00,0.00
125,1,1,%usr,%sys,%idle
126,1,1,100.00,0.00,0.00
128,1,1,%usr,%sys,%idle
129,1,1,100.00,0.00,0.00
131,1,1,%usr,%sys,%idle
132,1,1,100.00,0.00,0.00
134,1,1,%usr,%sys,%idle
135,1,1,100.00,0.00,0.00
137,1,1,%usr,%sys,%idle
138,1,1,100.00,0.00,0.00
140,1,1,%usr,%sys,%idle
141,1,1,100.00,0.00,0.00
143,1,1,%usr,%sys,%idle
144,1,1,100.00,0.00,0.00
146,1,1,%usr,%sys,%idle
147,1,1,100.00,0.00,0.00
149,1,1,%usr,%sys,%idle
150,1,1,100.00,0.00,0.00
152,1,1,%usr,%sys,%idle
153,1,1,100.00,0.00,0.00
155,1,1,%usr,%sys,%idle
156,1,1,100.00,0.00,0.00
158,1,1,%usr,%sys,%idle
159,1,1,100.00,0.00,0.00
161,1,1,%usr,%sys,%idle
162,1,1,100.00,0.00,0.00
164,1,1,%usr,%sys,%idle
165,1,1,100.00,0.00,0.00
167,1,1,%usr,%sys,%idle
168,1,1,100.00,0.00,0.00
170,1,1,%usr,%sys,%idle
171,1,1,100.00,0.00,0.00
173,1,1,%usr,%sys,%idle
174,1,1,100.00,0.00,0.00
176,1,1,%usr,%sys,%idle
177,1,1,100.00,0.00,0.00
179,1,1,%usr,%sys,%idle
180,1,1,100.00,0.00,0.00
181,1,2,%usr,%sys,%idle
182,1,2,93.00,0.00,7.00
184,1,2,%usr,%sys,%idle
185,1,2,100.00,0.00,0.00
187,1,2,%usr,%sys,%idle
188,1,2,100.00,0.00,0.00
190,1,2,%usr,%sys,%idle
191,1,2,100.00,0.00,0.00
193,1,2,%usr,%sys,%idle
194,1,2,100.00,0.00,0.00
196,1,2,%usr,%sys,%idle
197,1,2,100.00,0.00,0.00
199,1,2,%usr,%sys,%idle
200,1,2,100.00,0.00,0.00
202,1,2,%usr,%sys,%idle
203,1,2,100.00,0.00,0.00
205,1,2,%usr,%sys,%idle
206,1,2,100.00,0.00,0.00
208,1,2,%usr,%sys,%idle
209,1,2,100.00,0.00,0.00
211,1,2,%usr,%sys,%idle
212,1,2,100.00,0.00,0.00
214,1,2,%usr,%sys,%idle
215,1,2,100.00,0.00,0.00
217,1,2,%usr,%sys,%idle
218,1,2,100.00,0.00,0.00
220,1,2,%usr,%sys,%idle
221,1,2,100.00,0.00,0.00
223,1,2,%usr,%sys,%idle
224,1,2,100.00,0.00,0.00
226,1,2,%usr,%sys,%idle
227,1,2,100.00,0.00,0.00
229,1,2,%usr,%sys,%idle
230,1,2,100.00,0.00,0.00
232,1,2,%usr,%sys,%idle
233,1,2,100.00,0.00,0.00
235,1,2,%usr,%sys,%idle
236,1,2,100.00,0.00,0.00
238,1,2,%usr,%sys,%idle
239,1,2,100.00,0.00,0.00
241,1,2,%usr,%sys,%idle
242,1,2,100.00,0.00,0.00
244,1,2,%usr,%sys,%idle
245,1,2,100.00,0.00,0.00
247,1,2,%usr,%sys,%idle
248,1,2,100.00,0.00,0.00
250,1,2,%usr,%sys,%idle
251,1,2,100.00,0.00,0.00
253,1,2,%usr,%sys,%idle
254,1,2,100.00,0.00,0.00
256,1,2,%usr,%sys,%idle
257,1,2,100.00,0.00,0.00
