time_sec,clients,run,throughput
1,1,1,1666212
2,1,1,1656638
3,1,1,2268613
4,1,1,2399675
5,1,1,2396790
6,1,1,2397840
7,1,1,2394735
8,1,1,2396699
9,1,1,2395897
10,1,1,2396661
11,1,1,2394844
12,1,1,2396694
13,1,1,2395354
14,1,1,2396518
15,1,1,2396425
16,1,1,2397296
17,1,1,2395936
18,1,1,2395730
19,1,1,2395665
20,1,1,2397909
21,1,1,2395947
22,1,1,2396373
23,1,1,2395824
24,1,1,2397899
25,1,1,2396571
26,1,1,2396285
27,1,1,2394963
28,1,1,2395658
29,1,1,2395493
30,1,1,2399041
31,1,1,2397958
32,1,1,2399614
33,1,1,2399062
34,1,1,2400362
35,1,1,2399129
36,1,1,2399720
37,1,1,2398721
38,1,1,2400621
39,1,1,2397631
40,1,1,2399587
41,1,1,2399226
42,1,1,2399719
43,1,1,2397808
44,1,1,2398977
45,1,1,2399279
46,1,1,2399049
47,1,1,2397488
48,1,1,2399668
49,1,1,2398072
50,1,1,2397767
51,1,1,2397097
52,1,1,2398969
53,1,1,2397491
54,1,1,2399283
55,1,1,2398114
56,1,1,2399099
57,1,1,2398987
58,1,1,2398598
59,1,1,2398064
60,1,1,2398778
61,1,1,1121
1,1,2,2297794
2,1,2,2296536
3,1,2,2295293
4,1,2,2295480
5,1,2,2294023
6,1,2,2292897
7,1,2,2291620
8,1,2,2292605
9,1,2,2293196
10,1,2,2293264
11,1,2,2292486
12,1,2,2292581
13,1,2,2292481
14,1,2,2293625
15,1,2,2294714
16,1,2,2296462
17,1,2,2295814
18,1,2,2296278
19,1,2,2295164
20,1,2,2296671
21,1,2,2296625
22,1,2,2295496
23,1,2,2295499
24,1,2,2296876
25,1,2,2295139
26,1,2,2295731
27,1,2,2295980
28,1,2,2296134
29,1,2,2296116
30,1,2,2294865
31,1,2,2292582
32,1,2,2295668
33,1,2,2295115
34,1,2,2295760
35,1,2,2293742
36,1,2,2296387
37,1,2,2296053
38,1,2,2296496
39,1,2,2295330
40,1,2,2296174
41,1,2,2294042
42,1,2,2295443
43,1,2,2295480
44,1,2,2294596
45,1,2,2294424
46,1,2,2295294
47,1,2,2294750
48,1,2,2295620
49,1,2,2294511
50,1,2,2295185
51,1,2,2295813
52,1,2,2295628
53,1,2,2294969
54,1,2,2294667
55,1,2,2295183
56,1,2,2296460
57,1,2,2295069
58,1,2,2295603
59,1,2,2294917
60,1,2,2295130
61,1,2,1647
1,1,3,1532613
2,1,3,1653322
3,1,3,2222023
4,1,3,2224508
5,1,3,2225187
6,1,3,2224361
7,1,3,2225154
8,1,3,2223789
9,1,3,2224031
10,1,3,2223417
11,1,3,2224029
12,1,3,2223119
13,1,3,2221230
14,1,3,2217474
15,1,3,2219687
16,1,3,2218990
17,1,3,2219266
