clients,queue_size,run,client_id,avg_latency_ns,p50_latency_ns,p99_latency_ns
1,2,1,0,2832.82,2743.73,4716.52
1,2,2,0,2689.19,2646.46,4227.43
1,2,3,0,2712.37,2661.01,4111.06
2,2,1,0,1978.25,1944.62,2960.11
2,2,1,1,1923.25,1874.61,3017.38
2,2,2,0,1862.79,1855.52,2704.64
2,2,2,1,1873.7,1873.7,2667.36
2,2,3,0,1982.8,1961.89,2858.29
2,2,3,1,1881.43,1865.52,2777.37
4,2,1,0,1775.06,1750.06,2488.27
4,2,1,1,1790.52,1751.88,2511.91
4,2,1,2,1694.61,1651.88,2305.54
4,2,1,3,1666.88,1638.24,2322.81
4,2,2,0,1870.99,1850.08,2726.48
4,2,2,1,1824.17,1798.26,2650.11
4,2,2,2,1634.16,1586.43,2333.73
4,2,2,3,1791.89,1767.35,2569.2
4,2,3,0,1871.89,1856.43,2733.73
4,2,3,1,1877.79,1855.52,2741.92
4,2,3,2,1632.79,1590.97,2325.54
4,2,3,3,1725.52,1698.24,2502.82
8,2,1,0,1846.89,1840.07,2314.64
8,2,1,1,1842.8,1831.89,2307.36
8,2,1,2,1763.25,1754.62,2203.72
8,2,1,3,1763.71,1760.07,2242.82
8,2,1,4,1745.98,1748.25,2195.54
8,2,1,5,1795.53,1795.53,2253.73
8,2,1,6,1750.52,1743.71,2230.09
8,2,1,7,1776.43,1769.16,2220.09
8,2,2,0,1841.88,1839.16,2287.35
8,2,2,1,1815.06,1810.06,2292.81
8,2,2,2,1814.16,1804.61,2265.54
8,2,2,3,1769.61,1765.52,2258.26
8,2,2,4,1727.79,1727.33,2180.08
8,2,2,5,1776.88,1776.43,2230.99
8,2,2,6,1710.06,1708.24,2183.71
8,2,2,7,1795.52,1785.52,2220.99
8,2,3,0,1857.8,1857.34,2285.54
8,2,3,1,1827.79,1825.52,2272.81
8,2,3,2,1785.98,1774.61,2210.99
8,2,3,3,1822.79,1820.07,2309.18
8,2,3,4,1785.52,1785.52,2236.45
8,2,3,5,1830.07,1833.7,2292.81
8,2,3,6,1726.88,1722.79,2213.72
8,2,3,7,1806.43,1797.34,2250.08
16,2,1,0,2223.26,2210.98,2703.73
16,2,1,1,2200.98,2207.35,2655.55
16,2,1,2,2192.35,2180.98,2673.73
16,2,1,3,2234.17,2228.26,2710.09
16,2,1,4,2130.53,2133.71,2603.73
16,2,1,5,2175.07,2176.44,2633.73
16,2,1,6,2160.53,2163.71,2634.64
