time_sec,clients,run,throughput
1,1,1,1181980
2,1,1,1379167
3,1,1,1382212
4,1,1,1381240
5,1,1,1382781
6,1,1,1381234
7,1,1,1382426
8,1,1,1381795
9,1,1,1381079
10,1,1,1380974
11,1,1,1380861
12,1,1,1380292
13,1,1,1381664
14,1,1,1380260
15,1,1,1382808
16,1,1,1383146
17,1,1,1382005
18,1,1,1382583
19,1,1,1382571
20,1,1,1381831
21,1,1,1382391
22,1,1,1382270
23,1,1,1382602
24,1,1,1382846
25,1,1,1382850
26,1,1,1382705
27,1,1,1382482
28,1,1,1382585
29,1,1,1383081
30,1,1,1382262
31,1,1,1383118
32,1,1,1382529
33,1,1,1382463
34,1,1,1381079
35,1,1,1381521
36,1,1,1382373
37,1,1,1382146
38,1,1,1383194
39,1,1,1381582
40,1,1,1383143
41,1,1,1382699
42,1,1,1382430
43,1,1,1382617
44,1,1,1382640
45,1,1,1383437
46,1,1,1382172
47,1,1,1382199
48,1,1,1381950
49,1,1,1382648
50,1,1,1382501
51,1,1,1381402
52,1,1,1381755
53,1,1,1382555
54,1,1,1381598
55,1,1,1381529
56,1,1,1382017
57,1,1,1382254
58,1,1,1381274
59,1,1,1382169
60,1,1,1382898
61,1,1,701
1,1,2,1400346
2,1,2,1397473
3,1,2,1458079
4,1,2,1456986
5,1,2,1428103
6,1,2,1377992
7,1,2,1378409
8,1,2,1378685
9,1,2,1414676
10,1,2,1376235
11,1,2,1378288
12,1,2,1379548
13,1,2,1376596
14,1,2,1378263
15,1,2,1377225
16,1,2,1378250
17,1,2,1380828
18,1,2,1379021
19,1,2,1380048
20,1,2,1378110
21,1,2,1377064
22,1,2,1379027
23,1,2,1378804
24,1,2,1379759
25,1,2,1378966
26,1,2,1378770
27,1,2,1379057
28,1,2,1376578
29,1,2,1378036
30,1,2,1379945
31,1,2,1379332
32,1,2,1380266
33,1,2,1380346
34,1,2,1378985
35,1,2,1378627
36,1,2,1378431
37,1,2,1378807
38,1,2,1377482
39,1,2,1377929
40,1,2,1378710
41,1,2,1379751
42,1,2,1379501
43,1,2,1379048
44,1,2,1380670
45,1,2,1379231
46,1,2,1377362
47,1,2,1377310
48,1,2,1379498
49,1,2,1379743
50,1,2,1380394
51,1,2,1379970
52,1,2,1378552
53,1,2,1376740
54,1,2,1378153
55,1,2,1376327
56,1,2,1377938
57,1,2,1377228
58,1,2,1379197
59,1,2,1378823
60,1,2,1379618
61,1,2,575
1,1,3,1329734
2,1,3,1287187
3,1,3,1284685
4,1,3,1286375
5,1,3,1286444
6,1,3,1286943
7,1,3,1287599
8,1,3,1287738
9,1,3,1289835
10,1,3,1368138
11,1,3,1367690
12,1,3,1362618
13,1,3,1284917
14,1,3,1286071
15,1,3,1286576
16,1,3,1284498
17,1,3,1287473
18,1,3,1286048
19,1,3,1286430
20,1,3,1288033
21,1,3,1288223
22,1,3,1288332
23,1,3,1287456
24,1,3,1288495
25,1,3,1287385
26,1,3,1285789
27,1,3,1285233
28,1,3,1287947
29,1,3,1287860
30,1,3,1287826
31,1,3,1290837
32,1,3,1288431
33,1,3,1285730
34,1,3,1285168
35,1,3,1289305
36,1,3,1288208
37,1,3,1289665
38,1,3,1289755
39,1,3,1288709
40,1,3,1287656
41,1,3,1289021
42,1,3,1287547
43,1,3,1288884
44,1,3,1289157
45,1,3,1288857
46,1,3,1287593
47,1,3,1288803
48,1,3,1288037
49,1,3,1287855
50,1,3,1287761
51,1,3,1287975
52,1,3,1286354
53,1,3,1288819
54,1,3,1288256
55,1,3,1288098
56,1,3,1288382
57,1,3,1288165
58,1,3,1290427
59,1,3,1288274
60,1,3,1286153
61,1,3,651
1,2,1,2991008
2,2,1,3201097
3,2,1,3204224
4,2,1,3204744
5,2,1,3204966
6,2,1,3205465
7,2,1,3207094
8,2,1,3206242
9,2,1,3206853
10,2,1,3205626
11,2,1,3207279
12,2,1,3206237
13,2,1,3207500
14,2,1,3202283
15,2,1,3204089
16,2,1,3203164
17,2,1,3203003
18,2,1,3201489
19,2,1,3203342
20,2,1,3203546
21,2,1,3203776
22,2,1,3203735
23,2,1,3203957
24,2,1,3201903
25,2,1,3203834
26,2,1,3203581
27,2,1,3203836
28,2,1,3201519
29,2,1,3200773
30,2,1,3202871
31,2,1,3205121
32,2,1,3203537
33,2,1,3200464
34,2,1,3201296
35,2,1,3204103
36,2,1,3203282
37,2,1,3203422
38,2,1,3201770
39,2,1,3202848
40,2,1,3202834
41,2,1,3204312
42,2,1,3202839
43,2,1,3204101
44,2,1,3203973
45,2,1,3206450
46,2,1,3204723
47,2,1,3204998
48,2,1,3204447
49,2,1,3206672
50,2,1,3205771
51,2,1,3206718
52,2,1,3205297
53,2,1,3205937
54,2,1,3206203
55,2,1,3206314
56,2,1,3205368
57,2,1,3206279
58,2,1,3205961
59,2,1,3207398
60,2,1,3205460
61,2,1,2115
1,2,2,3077093
2,2,2,2852544
3,2,2,2851677
4,2,2,2854166
5,2,2,2853122
6,2,2,2853843
7,2,2,2855555
8,2,2,2856320
9,2,2,2855735
10,2,2,2856778
11,2,2,2854441
12,2,2,2855118
13,2,2,2854444
14,2,2,2855884
15,2,2,2854442
16,2,2,2856225
17,2,2,2854402
18,2,2,2855306
19,2,2,2855294
20,2,2,2856528
21,2,2,2855261
22,2,2,2856638
23,2,2,2855711
24,2,2,2856475
25,2,2,2855921
26,2,2,2856251
27,2,2,2855632
28,2,2,2855890
29,2,2,2855732
30,2,2,2856667
31,2,2,2854792
32,2,2,2856293
33,2,2,2855745
34,2,2,2856044
35,2,2,2855502
36,2,2,2856365
37,2,2,2854622
38,2,2,2857328
39,2,2,2855763
40,2,2,2855886
41,2,2,2855296
42,2,2,2856534
43,2,2,2854040
44,2,2,2854098
45,2,2,2852594
46,2,2,2854917
47,2,2,2855192
48,2,2,2856990
49,2,2,2857127
50,2,2,2857482
51,2,2,2854879
52,2,2,2856704
53,2,2,2854737
54,2,2,2856895
55,2,2,2856212
56,2,2,2857137
57,2,2,2855964
58,2,2,2857066
59,2,2,2857139
60,2,2,2858422
61,2,2,1749
1,2,3,3007250
2,2,3,2965050
3,2,3,2965426
4,2,3,2965465
5,2,3,2967061
6,2,3,2966783
7,2,3,2968232
8,2,3,2967470
9,2,3,2969832
10,2,3,2967282
11,2,3,2968820
12,2,3,2968298
13,2,3,2968334
14,2,3,2968033
15,2,3,2968658
16,2,3,2968547
17,2,3,2969027
18,2,3,2967896
19,2,3,2969008
20,2,3,2967366
21,2,3,2969087
22,2,3,2967217
23,2,3,2968204
24,2,3,2967784
25,2,3,2968865
26,2,3,2967599
27,2,3,2968468
28,2,3,2967404
29,2,3,2969459
30,2,3,2967727
31,2,3,2969104
32,2,3,2967721
33,2,3,2969251
34,2,3,2967912
35,2,3,2968497
36,2,3,2967502
37,2,3,2969246
38,2,3,2968599
39,2,3,2969715
40,2,3,2967859
41,2,3,2969444
42,2,3,2968560
43,2,3,2969359
44,2,3,2969260
45,2,3,2969360
46,2,3,2969740
47,2,3,2971111
48,2,3,2970095
49,2,3,2970999
50,2,3,2969751
51,2,3,2970444
52,2,3,2969909
53,2,3,2971109
54,2,3,2969553
55,2,3,2970992
56,2,3,2970322
57,2,3,2971344
58,2,3,2970162
59,2,3,2970619
60,2,3,2969839
61,2,3,1716
1,4,1,3201638
2,4,1,4925339
3,4,1,4940673
4,4,1,4942374
5,4,1,4939796
6,4,1,4937459
7,4,1,4936038
8,4,1,4943240
9,4,1,4946581
10,4,1,4943953
11,4,1,4943092
12,4,1,4939267
13,4,1,4937966
14,4,1,4939412
15,4,1,4944414
16,4,1,4940622
17,4,1,4948149
18,4,1,4945021
19,4,1,4946247
20,4,1,4942962
21,4,1,4946907
22,4,1,4942757
23,4,1,4942499
24,4,1,4940280
25,4,1,4945923
26,4,1,4941066
27,4,1,4945104
28,4,1,4943544
29,4,1,4943767
30,4,1,4941113
31,4,1,4943106
32,4,1,4940282
33,4,1,4944087
34,4,1,4941614
35,4,1,4943349
36,4,1,4941928
37,4,1,4944235
38,4,1,4942213
39,4,1,4947032
40,4,1,4942744
41,4,1,4944940
42,4,1,4944277
43,4,1,4944994
44,4,1,4942392
45,4,1,4944405
46,4,1,4943882
47,4,1,4945276
48,4,1,4944431
49,4,1,4946806
50,4,1,4941124
51,4,1,4941876
52,4,1,4940837
53,4,1,4946144
54,4,1,4939115
55,4,1,4946280
56,4,1,4948067
57,4,1,4953572
58,4,1,4950446
59,4,1,4949342
60,4,1,4947221
61,4,1,5865
1,4,2,5010497
2,4,2,5037036
3,4,2,5035614
4,4,2,5037021
5,4,2,5034992
6,4,2,5036562
7,4,2,5036153
8,4,2,5041568
9,4,2,5040764
10,4,2,5038545
11,4,2,5037454
12,4,2,5040943
13,4,2,5039958
14,4,2,5040419
15,4,2,5038369
16,4,2,5040291
17,4,2,5038407
18,4,2,5039933
19,4,2,5039406
20,4,2,5040405
21,4,2,5039246
22,4,2,5040500
23,4,2,5038985
24,4,2,5041080
25,4,2,5038680
26,4,2,5039492
27,4,2,5039035
28,4,2,5041588
29,4,2,5037910
30,4,2,5042242
31,4,2,5037946
32,4,2,5037671
33,4,2,5036153
34,4,2,5038423
35,4,2,5036313
36,4,2,5039357
37,4,2,5036490
38,4,2,5038471
39,4,2,5036737
40,4,2,5038521
41,4,2,5037348
42,4,2,5039221
43,4,2,5035299
44,4,2,5038075
45,4,2,5037224
46,4,2,5036421
47,4,2,5035180
48,4,2,5038246
49,4,2,5037202
50,4,2,5037985
51,4,2,5036450
52,4,2,5038209
53,4,2,5037445
54,4,2,5040566
55,4,2,5040434
56,4,2,5043435
57,4,2,5041818
58,4,2,5044306
59,4,2,5042297
60,4,2,5042974
61,4,2,8019
1,4,3,5059732
2,4,3,5078514
3,4,3,5080943
4,4,3,5080465
5,4,3,5082154
6,4,3,5077341
7,4,3,5081797
8,4,3,5080823
9,4,3,5085687
10,4,3,5084482
11,4,3,5084100
12,4,3,5084869
13,4,3,5085854
14,4,3,5082915
15,4,3,5082901
16,4,3,5082345
17,4,3,5087531
18,4,3,5083907
19,4,3,5081851
20,4,3,5082215
21,4,3,5081805
22,4,3,5079699
23,4,3,5080543
24,4,3,5078787
25,4,3,5081668
26,4,3,5079497
27,4,3,5081029
28,4,3,5080725
29,4,3,5084324
30,4,3,5082223
31,4,3,5082175
32,4,3,5081485
33,4,3,5082868
34,4,3,5078212
35,4,3,5083070
36,4,3,5078793
37,4,3,5078717
38,4,3,5081903
39,4,3,5085009
40,4,3,5079777
41,4,3,5083168
42,4,3,5081101
43,4,3,5081961
44,4,3,5079063
45,4,3,5079397
46,4,3,5081409
47,4,3,5082335
48,4,3,5082998
49,4,3,5080185
50,4,3,5082149
51,4,3,5080836
52,4,3,5081674
53,4,3,5083739
54,4,3,5087188
55,4,3,5090299
56,4,3,5086630
57,4,3,5089599
58,4,3,5084899
59,4,3,5087017
60,4,3,5087638
61,4,3,8306
1,8,1,7644052
2,8,1,7560474
3,8,1,7566379
4,8,1,7562012
5,8,1,7561248
6,8,1,7558649
7,8,1,7565104
8,8,1,7561007
9,8,1,7564830
10,8,1,7569613
11,8,1,7573920
12,8,1,7568485
13,8,1,7571276
14,8,1,7570387
15,8,1,7572647
16,8,1,7570251
17,8,1,7573564
18,8,1,7568178
19,8,1,7571466
20,8,1,7567424
21,8,1,7569677
22,8,1,7569883
23,8,1,7572367
24,8,1,7570085
25,8,1,7567916
26,8,1,7569693
27,8,1,7570750
28,8,1,7567597
29,8,1,7568769
30,8,1,7566298
31,8,1,7572471
32,8,1,7568411
33,8,1,7571990
34,8,1,7568145
35,8,1,7569718
36,8,1,7564999
37,8,1,7570426
38,8,1,7567340
39,8,1,7570409
40,8,1,7568172
41,8,1,7571180
42,8,1,7569151
43,8,1,7573395
44,8,1,7569925
45,8,1,7569901
46,8,1,7568409
47,8,1,7566113
48,8,1,7569623
49,8,1,7571023
50,8,1,7566514
51,8,1,7569362
52,8,1,7566186
53,8,1,7570363
54,8,1,7568305
55,8,1,7570658
56,8,1,7567928
57,8,1,7570463
58,8,1,7565992
59,8,1,7571326
60,8,1,7567822
61,8,1,14126
1,8,2,7791371
2,8,2,7546703
3,8,2,7545034
4,8,2,7545696
5,8,2,7544392
6,8,2,7545883
7,8,2,7545092
8,8,2,7546292
9,8,2,7545102
10,8,2,7552867
11,8,2,7553539
12,8,2,7553976
13,8,2,7552184
14,8,2,7555175
15,8,2,7550374
16,8,2,7554707
17,8,2,7551320
18,8,2,7556272
19,8,2,7552697
20,8,2,7554327
21,8,2,7551921
22,8,2,7555169
23,8,2,7553306
24,8,2,7554283
25,8,2,7553838
26,8,2,7554678
27,8,2,7553763
28,8,2,7554447
29,8,2,7552444
30,8,2,7554408
31,8,2,7551482
32,8,2,7553175
33,8,2,7549912
34,8,2,7556837
35,8,2,7551772
36,8,2,7549841
37,8,2,7551724
38,8,2,7553069
39,8,2,7550722
40,8,2,7555051
41,8,2,7552415
42,8,2,7554331
43,8,2,7549215
44,8,2,7553936
45,8,2,7550823
46,8,2,7555719
47,8,2,7550223
48,8,2,7551700
49,8,2,7550385
50,8,2,7551570
51,8,2,7547431
52,8,2,7550248
53,8,2,7548133
54,8,2,7552936
55,8,2,7551562
56,8,2,7553195
57,8,2,7549876
58,8,2,7552961
59,8,2,7551647
